input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
BUFFR,BUFFR,Fix / reporting point / waypoint,,39.45934722,-77.59831388,US,MD,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH,ENROUTE LOW,MILITARY SID,SID"
BULZI,BULZI,Fix / reporting point / waypoint,,30.37359166,-84.07624166,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
BUM,BUM,Airport / landing facility,BUTLER MEML,38.28976722,-94.34012777,US,MO,BUTLER,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
BUM,BUM,Navigation aid,BUTLER,38.27208011,-94.48826111,US,MO,BUTLER,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BXK,BXK,Airport / landing facility,BUCKEYE MUNI,33.42253388,-112.68623388,US,AZ,BUCKEYE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
BXK,BXK,Navigation aid,BUCKEYE,33.45345869,-112.82459369,US,AZ,BUCKEYE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
BYP,BYP,Navigation aid,BONHAM,33.53748611,-96.23409444,US,TX,BONHAM,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
BZNGA,BZNGA,Fix / reporting point / waypoint,,36.41466666,-78.49696666,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
CAMJO,CAMJO,Fix / reporting point / waypoint,,30.50888888,-82.68638888,US,FL,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID,STAR"
CAMRN,CAMRN,Fix / reporting point / waypoint,,40.01730277,-73.86105833,US,NJ,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID,STAR"
CANDI,CANDI,Fix / reporting point / waypoint,,29.65378055,-95.30251666,US,TX,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=MILITARY IAP
CARIN,CARIN,Fix / reporting point / waypoint,,34.45416111,-90.88695833,US,AR,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,ENROUTE HIGH"
CHS,CHS,Airport / landing facility,CHARLESTON AFB/INTL,32.89863888,-80.04052777,US,SC,CHARLESTON,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
CHS,CHS,Navigation aid,CHARLESTON,32.89431919,-80.03781427,US,SC,CHARLESTON,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
CJAAE,CJAAE,Fix / reporting point / waypoint,,37.8638,-80.39202777,US,WV,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
CLARR,CLARR,Fix / reporting point / waypoint,,35.67568055,-115.67975277,US,CA,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW"
COATE,COATE,Fix / reporting point / waypoint,,41.13622777,-74.69516666,US,NJ,,FIX,2026-06-11,Original user route list + FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SID"
CONFR,CONFR,Fix / reporting point / waypoint,,38.26969444,-75.40916111,US,MD,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
COPES,COPES,Fix / reporting point / waypoint,,40.13071388,-75.37676944,US,PA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
CREEP,CREEP,Fix / reporting point / waypoint,,39.92091111,-84.308725,US,OH,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,SID"
CRG,CRG,Airport / landing facility,JACKSONVILLE EXEC AT CRAIG,30.33633333,-81.51444444,US,FL,JACKSONVILLE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
CRG,CRG,Navigation aid,CRAIG,30.33887919,-81.50992733,US,FL,JACKSONVILLE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_IFR
CRPLR,CRPLR,Fix / reporting point / waypoint,,37.60666944,-76.16601944,US,VA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
DACOS,DACOS,Fix / reporting point / waypoint,,38.20421388,-84.24104166,US,KY,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=ENROUTE HIGH
DADDS,DADDS,Fix / reporting point / waypoint,,35.60843055,-78.78908333,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
